CODE ID;Turn;Lang;Participant;Text;Version;Experiment;VIP;Token count (tokenizer);DAs_GOLD;subject;domain;argument;intent;slot_names;slot_values;
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;1;en;U;hi ;[2023-05-28]; [Si];no;1;"DS:opening; SOM:initGreeting";Nan;Nan;Nan;Nan;[];[];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;2;en;S;"I don't know, try asking something like, ""What is the initial state?"" ";[2023-05-28]; [Si];no;18;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;3;en;U;describe the automaton ;[2023-05-28]; [Si];no;3;Ta:request;Computer Science;FSA;Automata;fsa-practical;[];[];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;4;en;S;It is an automaton which accepts zero or more words in a binary alphabet formed by a sequence of a couple of 1s followed by a 0. There are a total of 3 states: q0, q1, and q2. q0 is both initial and end state. From each state one arc starts: from q0 the arc points to q2 and is marked by 1. From q2 it points to q1 and is marked by 1. Finally, from q1 it points to q0 and is marked by 0. ;[2023-05-28]; [Si];no;97;Ta:answer;Computer Science;FSA;Automata;fsa-practical;['alphabet','numberOfStates','states','initialState','finalStates','transitions'];[['0','1'],'3',['q0','q1','q2'],'q0',['q0'],[('q0','q2','1'),('q2','q1','1'),('q1','q0','0')]];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;5;en;U;There is a transition between q2 and q0 ;[2023-05-28]; [Si];no;8;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q2','q1','?')]];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;6;en;S;No, there is no such transition. From q2 there is only one transition to q1 marked with 1. ;[2023-05-28]; [Si];no;21;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q2','q1','1')]];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;7;en;U;There is a transition between q5 and q7 ;[2023-05-28]; [Si];no;8;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q5','q7','?')]];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;8;en;S;"I don't know, try asking something like, ""Describe this automaton."" ";[2023-05-28]; [Si];no;16;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;9;en;U;Describe it please ;[2023-05-28]; [Si];no;3;Ta:request;Nan;Nan;Nan;Nan;[];[];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;10;en;S;It is an automaton which accepts zero or more words in a binary alphabet formed by a sequence of a couple of 1s followed by a 0. There are a total of 3 states: q0, q1, and q2. q0 is both initial and end state. From each state one arc starts: from q0 the arc points to q2 and is marked by 1. From q2 it points to q1 and is marked by 1. Finally, from q1 it points to q0 and is marked by 0. ;[2023-05-28]; [Si];no;97;Ta:answer;Computer Science;FSA;Automata;fsa-practical;['alphabet','numberOfStates','states','initialState','finalStates','transitions'];[['0','1'],'3',['q0','q1','q2'],'q0',['q0'],[('q0','q2','1'),('q2','q1','1'),('q1','q0','0')]];
