1;Tell me about the start state q0;start-q0
2;Tell me about the state q0;stato-q0
3;Tell me about the state q1;stato-q1
4;Tell me about the state q2;stato-q2
5;Tell me about the state q3;stato-q3
6;Tell me about the state q4;stato-q4
7;Tell me about the goal state q0;stato-q0-finale
8;Tell me about the transition between q0 and q1;transizione-q0-q1
9;Tell me about the transition between q1 and q2;transizione-q1-q2
10;Tell me about the transition between q2 and q3;transizione-q2-q3
11;Tell me about the transition between q3 and q4;transizione-q3-q4
12;Tell me about the transition between q4 and q5;transizione-q4-q5
13;Tell me about the transition value between q0 and q1;valore-q0-q1
14;Tell me about the transition value between q1 and q2;valore-q1-q2
15;Tell me about the transition value between q2 and q3;valore-q2-q3
16;Tell me about the transition value between q3 and q4;valore-q3-q4
17;Tell me about the transition value between q4 and q5;valore-q4-q5
18;What is the start state q0;start-q0
19;What is the state q0;stato-q0
20;What is the state q1;stato-q1
21;What is the state q2;stato-q2
22;What is the state q3;stato-q3
23;What is the state q4;stato-q4
24;What is the goal state q0;stato-q0-finale
25;What is the transition between q0 and q1;transizione-q0-q1
26;What is the transition between q1 and q2;transizione-q1-q2
27;What is the transition between q2 and q3;transizione-q2-q3
28;What is the transition between q3 and q4;transizione-q3-q4
29;What is the transition between q4 and q5;transizione-q4-q5
30;What is the transition value between q0 and q1;valore-q0-q1
31;What is the transition value between q1 and q2;valore-q1-q2
32;What is the transition value between q2 and q3;valore-q2-q3
33;What is the transition value between q3 and q4;valore-q3-q4
34;What is the transition value between q4 and q5;valore-q4-q5
